"County","License Year","Hunting Season","Antlered","Antlerless","Total","Report Date and Time"
"Alcona","2022","ALL","2,250","1,996","4,246","11/14/2023 09:06 PM"
"Alger","2022","ALL","537","89","626","11/14/2023 09:06 PM"
"Allegan","2022","ALL","3,193","2,636","5,829","11/14/2023 09:06 PM"
"Alpena","2022","ALL","2,182","1,362","3,544","11/14/2023 09:06 PM"
"Antrim","2022","ALL","1,248","1,023","2,271","11/14/2023 09:06 PM"
"Arenac","2022","ALL","1,941","1,252","3,193","11/14/2023 09:06 PM"
"Baraga","2022","ALL","693","58","751","11/14/2023 09:06 PM"
"Barry","2022","ALL","2,787","2,245","5,032","11/14/2023 09:06 PM"
"Bay","2022","ALL","1,304","786","2,090","11/14/2023 09:06 PM"
"Benzie","2022","ALL","768","644","1,412","11/14/2023 09:06 PM"
"Berrien","2022","ALL","1,600","1,235","2,835","11/14/2023 09:06 PM"
"Branch","2022","ALL","2,288","2,028","4,316","11/14/2023 09:06 PM"
"Calhoun","2022","ALL","3,462","2,595","6,057","11/14/2023 09:06 PM"
"Cass","2022","ALL","1,821","1,493","3,314","11/14/2023 09:06 PM"
"Charlevoix","2022","ALL","897","683","1,580","11/14/2023 09:06 PM"
"Cheboygan","2022","ALL","1,382","747","2,129","11/14/2023 09:06 PM"
"Chippewa","2022","ALL","928","214","1,142","11/14/2023 09:06 PM"
"Clare","2022","ALL","2,628","2,361","4,989","11/14/2023 09:06 PM"
"Clinton","2022","ALL","3,441","2,774","6,215","11/14/2023 09:06 PM"
"Crawford","2022","ALL","1,160","1,249","2,409","11/14/2023 09:06 PM"
"Delta","2022","ALL","2,375","1,308","3,683","11/14/2023 09:06 PM"
"Dickinson","2022","ALL","1,353","662","2,015","11/14/2023 09:06 PM"
"Eaton","2022","ALL","2,792","1,995","4,787","11/14/2023 09:06 PM"
"Emmet","2022","ALL","781","550","1,331","11/14/2023 09:06 PM"
"Genesee","2022","ALL","2,700","1,700","4,400","11/14/2023 09:06 PM"
"Gladwin","2022","ALL","2,642","2,192","4,834","11/14/2023 09:06 PM"
"Gogebic","2022","ALL","468","49","517","11/14/2023 09:06 PM"
"Grand Traverse","2022","ALL","1,085","1,175","2,260","11/14/2023 09:06 PM"
"Gratiot","2022","ALL","3,091","2,350","5,441","11/14/2023 09:06 PM"
"Hillsdale","2022","ALL","3,042","2,593","5,635","11/14/2023 09:06 PM"
"Houghton","2022","ALL","885","122","1,007","11/14/2023 09:06 PM"
"Huron","2022","ALL","2,654","1,925","4,579","11/14/2023 09:06 PM"
"Ingham","2022","ALL","2,719","2,084","4,803","11/14/2023 09:06 PM"
"Ionia","2022","ALL","3,544","2,639","6,183","11/14/2023 09:06 PM"
"Iosco","2022","ALL","1,788","1,598","3,386","11/14/2023 09:06 PM"
"Iron","2022","ALL","1,401","913","2,314","11/14/2023 09:06 PM"
"Isabella","2022","ALL","3,049","2,291","5,340","11/14/2023 09:06 PM"
"Jackson","2022","ALL","4,135","3,006","7,141","11/14/2023 09:06 PM"
"Kalamazoo","2022","ALL","2,155","1,562","3,717","11/14/2023 09:06 PM"
"Kalkaska","2022","ALL","959","982","1,941","11/14/2023 09:06 PM"
"Kent","2022","ALL","3,365","2,160","5,525","11/14/2023 09:06 PM"
"Keweenaw","2022","ALL","155","3","158","11/14/2023 09:06 PM"
"Lake","2022","ALL","1,355","1,872","3,227","11/14/2023 09:06 PM"
